"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"AP"	"deliverymethod"
"8881"	"Remoxipride 150mg capsule"	"Remoxipride"	"150mg"	"Capsules"	"Oral"	"04020100"	"Remoxipride"	"Oral"
"8903"	"Sulpiride 200mg/5ml oral solution sugar free"	"Sulpiride"	"40mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Sulpiride"	"Oral"
"8921"	"Integrin 10mg Capsule (Sanofi-Synthelabo Ltd)"	"Oxypertine"	"10mg"	"Capsule"	"Oral"	"04020100"	"Oxypertine"	"Oral"
"8922"	"Oxypertine 10mg capsules"	"Oxypertine"	"10mg"	"Capsule"	"Oral"	"00000000"	"Oxypertine"	"Oral"
"8979"	"Serenace 1.5mg tablets (Teva UK Ltd)"	"Haloperidol"	"1.5mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"8985"	"Stelazine 1mg/5ml syrup (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"200microgram/1ml"	"Oral solution"	"Oral"	"04020101/04065400"	"Trifluoperazine"	"Oral"
"8988"	"PROMAZINE HCl 25 MG TAB"	"Promazine"	"25 MG"	"Tablet"	"Oral"	"00000000"	"Promazine"	"Oral"
"9022"	"Fluphenazine decanoate 25mg/ml Injection"	"Fluphenazine"	"25mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Fluphenazine"	"Injection"
"9190"	"Chlorpromazine 25mg/5ml oral solution sugar free"	"Chlorpromazine"	"5mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"9247"	"Sulpiride 400mg tablets"	"Sulpiride"	"400mg"	"Tablet"	"Oral"	"04020101"	"Sulpiride"	"Oral"
"9340"	"Risperdal 3mg tablets (Janssen-Cilag Ltd)"	"Risperidone"	"3mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"9347"	"Clopixol 25mg tablets (Lundbeck Ltd)"	"Zuclopenthixol"	"25mg"	"Tablet"	"Oral"	"04020101"	"Zuclopenthixol"	"Oral"
"9387"	"Thioridazine 25mg/5ml oral suspension"	"Thioridazine"	"5mg/1ml"	"Oral suspension"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"9475"	"Risperdal 4mg tablets (Janssen-Cilag Ltd)"	"Risperidone"	"4mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"9515"	"Zoleptil 50 tablets (Movianto UK Ltd)"	"Zotepine"	"50mg"	"Tablet"	"Oral"	"04020100"	"Zotepine"	"Oral"
"9590"	"Prochlorperazine 5mg effervescent granules sachets sugar free"	"Prochlorperazine"	"5mg"	"Effervescent granules"	"Oral"	"00000000"	"Prochlorperazine"	"Oral"
"9659"	"Risperdal 2mg tablets (Janssen-Cilag Ltd)"	"Risperidone"	"2mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"9686"	"Zuclopenthixol 10mg tablets"	"Zuclopenthixol"	"10mg"	"Tablet"	"Oral"	"04020101"	"Zuclopenthixol"	"Oral"
"9794"	"Quetiapine 200mg tablets"	"Quetiapine"	"200mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"9965"	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Chlorpromazine"	"20mg/1ml"	"Oral suspension"	"Oral"	"00000000"	"Chlorpromazine"	"Oral"
"9975"	"Haloperidol 1mg/ml sugar free Oral solution"	"Haloperidol"	"1mg/ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"10107"	"Quetiapine Starter Pack"	"Quetiapine"	NA	"Starter Pack"	"Oral"	"04020100"	"Quetiapine"	"Oral"
"10356"	"TRIFLUOPERAZINE TAB"	"Trifluoperazine"	NA	"Tablet"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
"10405"	"Thioridazine 25mg/5ml sugar free Oral solution"	"Thioridazine"	"25mg/5ml"	"Oral Solution"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"10434"	"Largactil 25mg/5ml Oral solution (Hawgreen Ltd)"	"Chlorpromazine"	"5mg/1ml"	"Oral solution"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"10435"	"Haloperidol 10mg/ml Oral solution"	"Haloperidol"	"10mg/ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"10446"	"CHLORPROMAZINE HCl 50 MG TAB"	"Chlorpromazine"	"50 MG"	"Tablet"	"Oral"	"00000000"	"Chlorpromazine"	"Oral"
"10514"	"Fluphenazine decanoate 100mg/ml Injection"	"Fluphenazine"	"100mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Fluphenazine"	"Injection"
"10535"	"TRIFLUOPERAZINE 5.00MG/ML 5 MG SYR"	"Trifluoperazine"	"5.00MG/ML"	"Solution for injection"	"Intramuscular"	"00000000"	"Trifluoperazine"	"Injection"
"10565"	"Haloperidol decanoate 50mg/1ml solution for injection ampoules"	"Haloperidol"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101/04020200"	"Haloperidol"	"Injection"
"10666"	"Dolmatil 200mg tablets (Sanofi)"	"Sulpiride"	"200mg"	"Tablet"	"Oral"	"04020101"	"Sulpiride"	"Oral"
"10675"	"Thioridazine 100mg/5ml oral suspension"	"Thioridazine"	"20mg/1ml"	"Oral suspension"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"10689"	"LARGACTIL FORTE SYR"	"Chlorpromazine"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Chlorpromazine"	"Injection"
"10780"	"Promazine 50mg/5ml oral solution"	"Promazine"	"50mg/5ml"	"Suspension"	"Oral"	"04020100"	"Promazine"	"Oral"
"10827"	"Fluspirilene 2mg/ml Injection"	"Fluspirilene"	"2mg/ml"	"Injection"	"Intramuscular"	"04020200"	"Fluspirilene"	"Injection"
"10870"	"THIORIDAZINE S/F 50 MG/5ML SYR"	"Thioridazine"	"50 MG/5ML"	"Solution for injection"	"Intramuscular"	"00000000"	"Thioridazine"	"Injection"
"10944"	"Pipotiazine palmitate 50mg/ml depot injection"	"Pipotiazine"	"50mg/ml"	"Depot Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Pipotiazine"	"Injection"
"11213"	"Haloperidol 2mg/5ml sugar free Oral solution"	"Haloperidol"	"2mg/5ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"11531"	"Trifluoperazine 5mg/5ml oral solution sugar free"	"Trifluoperazine"	"1mg/1ml"	"Oral solution"	"Oral"	"04020101/04065400"	"Trifluoperazine"	"Oral"
"11799"	"Risperdal 6mg tablets (Janssen-Cilag Ltd)"	"Risperidone"	"6mg"	"Tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"11821"	"Risperdal Quicklet 500microgram orodispersible tablets (Janssen-Cilag Ltd)"	"Risperidone"	"500microgram"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"11828"	"Risperidone 2mg orodispersible tablets sugar free"	"Risperidone"	"2mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"11938"	"Amisulpride 25mg/5ml oral suspension"	"Amisulpride"	"5mg/1ml"	"Oral suspension"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"12050"	"HALOPERIDOL 100MG/ML 100 MG INJ"	"Haloperidol"	"100MG/ML"	"Solution for injection"	"Intramuscular"	"00000000"	"Haloperidol"	"Injection"
"12073"	"Clopixol Conc 500mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Zuclopenthixol"	"500mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Zuclopenthixol"	"Injection"
"12128"	"Modecate concentrate 100mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Fluphenazine"	"100mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Fluphenazine"	"Injection"
"12137"	"CHLORPROMAZINE HCl 25 MG TAB"	"Chlorpromazine"	"25 MG"	"Tablet"	"Oral"	"00000000"	"Chlorpromazine"	"Oral"
"12193"	"Sparine 25mg Tablet (Wyeth Pharmaceuticals)"	"Promazine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Promazine"	"Oral"
"12195"	"Pericyazine 10mg/5ml oral solution"	"Pericyazine"	"2mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Pericyazine"	"Oral"
"12224"	"Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules"	"Zuclopenthixol"	"500mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Zuclopenthixol"	"Injection"
"12340"	"Piportil 50mg/ml Depot injection (JHC Healthcare Ltd)"	"Pipotiazine"	"50mg/ml"	"Depot Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Pipotiazine"	"Injection"
"12356"	"LARGACTIL 50 MG INJ"	"Chlorpromazine"	"50 MG"	"Solution for injection"	"Intramuscular"	"00000000"	"Chlorpromazine"	"Injection"
"12386"	"Haldol decanoate 100mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)"	"Haloperidol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101/04020200"	"Haloperidol"	"Injection"
"12387"	"Haloperidol 20mg tablets"	"Haloperidol"	"20mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"12445"	"Remoxipride 300mg capsule"	"Remoxipride"	"300mg"	"Capsules"	"Oral"	"04020100"	"Remoxipride"	"Oral"
"12544"	"CHLORPROMAZINE HCl 100 MG MIX"	"Chlorpromazine"	"100 MG"	"Oral solution"	"Oral"	"00000000"	"Chlorpromazine"	"Oral"
"12579"	"RISPERDAL(3 MG) 3 MG TAB"	"Risperidone"	"3 MG"	"Tablet"	"Oral"	"00000000"	"Risperidone"	"Oral"
"12615"	"Loxapine 25mg capsules"	"Loxapine"	"25mg"	"Capsule"	"Oral"	"00000000"	"Loxapine"	"Oral"
"12616"	"Loxapine 10mg capsules"	"Loxapine"	"10mg"	"Capsule"	"Oral"	"00000000"	"Loxapine"	"Oral"
"12619"	"Loxapac 25mg capsules (Wyeth Pharmaceuticals)"	"Loxapine"	"25mg"	"Capsule"	"Oral"	"00000000"	"Loxapine"	"Oral"
"12630"	"Loxapine 50mg capsules"	"Loxapine"	"50mg"	"Capsule"	"Oral"	"00000000"	"Loxapine"	"Oral"
"12666"	"Sertindole 4mg tablets"	"Sertindole"	"4mg"	"Tablet"	"Oral"	"04020100"	"Sertindole"	"Oral"
"12707"	"Zuclopenthixol 2mg tablets"	"Zuclopenthixol"	"2mg"	"Tablet"	"Oral"	"04020101"	"Zuclopenthixol"	"Oral"
"12921"	"Haldol 2mg/ml oral solution (Janssen-Cilag Ltd)"	"Haloperidol"	"2mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"13105"	"Haloperidol 2mg/ml Oral solution"	"Haloperidol"	"2mg/ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"13145"	"Trifluoperazine 1mg/5ml oral solution sugar free"	"Trifluoperazine"	"200microgram/1ml"	"Oral solution"	"Oral"	"04020101/04065400"	"Trifluoperazine"	"Oral"
"13311"	"Sparine 50mg/ml Injection (Wyeth Pharmaceuticals)"	"Promazine"	"50mg/ml"	"Injection"	"Intramuscular"	"04020100"	"Promazine"	"Injection"
"13338"	"Serenace 5mg tablets (Teva UK Ltd)"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"13341"	"DROPERIDOL 5 MG/5ML ELI"	"Droperidol"	"5 MG/5ML"	"Oral solution"	"Oral"	"00000000"	"Droperidol"	"Oral"
"13368"	"Clopixol 2mg tablets (Lundbeck Ltd)"	"Zuclopenthixol"	"2mg"	"Tablet"	"Oral"	"04020101"	"Zuclopenthixol"	"Oral"
"13369"	"Droleptan 1mg/ml Oral solution (Janssen-Cilag Ltd)"	"Droperidol"	"1mg/ml"	"Oral Solution"	"Oral"	"04020100/15010401"	"Droperidol"	"Oral"
"13391"	"SERENACE 20 MG INJ"	"Haloperidol"	"20 MG"	"Solution for injection"	"Intramuscular"	"00000000"	"Haloperidol"	"Injection"
"13479"	"CHLORPROMAZINE 25 MG SUP"	"Chlorpromazine"	"25 MG"	"Suppository"	"Rectal"	"00000000"	"Chlorpromazine"	"Oral"
"13483"	"Serenace 20mg tablets (Teva UK Ltd)"	"Haloperidol"	"20mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"13484"	"Serenace 10mg tablets (Teva UK Ltd)"	"Haloperidol"	"10mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"13600"	"Zuclopenthixol 25mg tablets"	"Zuclopenthixol"	"25mg"	"Tablet"	"Oral"	"04020101"	"Zuclopenthixol"	"Oral"
"13607"	"Proziere 5mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Prochlorperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"13620"	"SULPIRIDE 500 MG TAB"	"Sulpiride"	"500 MG"	"Tablet"	"Oral"	"00000000"	"Sulpiride"	"Oral"
"13820"	"Zyprexa 10mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"10mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"13888"	"Zyprexa 10mg Velotabs (Eli Lilly and Company Ltd)"	"Olanzapine"	"10mg"	"Oral lyophilisate"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"13902"	"Neulactil Forte syrup (Sanofi)"	"Pericyazine"	"2mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Pericyazine"	"Oral"
"14112"	"Clozaril 100mg tablets (Mylan)"	"Clozapine"	"100mg"	"Tablet"	"Oral"	"04020102"	"Clozapine"	"Oral"
"14130"	"Depixol Low Volume 200mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol"	"200mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"14344"	"Aripiprazole 5mg tablets"	"Aripiprazole"	"5mg"	"Tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"14356"	"Stemetil 12.5mg/1ml solution for injection ampoules (Sanofi)"	"Prochlorperazine"	"12.5mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101/04065400"	"Prochlorperazine"	"Injection"
"14364"	"Prochlorperazine 12.5mg/1ml solution for injection ampoules"	"Prochlorperazine"	"12.5mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101/04065400"	"Prochlorperazine"	"Injection"
"14576"	"Zuclopenthixol acetate 50mg/ml oily injection"	"Zuclopenthixol"	"50mg/ml"	"Oily Injection"	"Intramuscular"	"04020100"	"Zuclopenthixol"	"Injection"
"14610"	"Promazine 50mg/5ml oral solution sugar free"	"Promazine"	"50mg/5ml"	"Syrup Sugar-free"	"Oral"	"04020100"	"Promazine"	"Oral"
"14717"	"Zyprexa 5mg Velotabs (Eli Lilly and Company Ltd)"	"Olanzapine"	"5mg"	"Oral lyophilisate"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"14767"	"Risperdal Consta 50mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)"	"Risperidone"	"50mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Risperidone"	"Injection"
"14789"	"Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)"	"Risperidone"	"37.5mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Risperidone"	"Injection"
"14813"	"Seroquel 150mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"150mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"14839"	"Flupentixol 200mg/1ml solution for injection ampoules"	"Flupentixol"	"200mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"14858"	"Abilify 15mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"15mg"	"Tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"14859"	"Seroquel 25mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"25mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"14889"	"Depixol Conc 100mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"14966"	"Flupentixol 20mg/1ml solution for injection ampoules"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"14987"	"Perphenazine 2mg/5ml oral solution sugar free"	"Perphenazine"	"2mg/5ml"	"Syrup Sugar-free"	"Oral"	"04020100/40120000"	"Perphenazine"	"Oral"
"15047"	"Orap 4mg tablets (Eumedica Pharmaceuticals)"	"Pimozide"	"4mg"	"Tablet"	"Oral"	"04020101"	"Pimozide"	"Oral"
"15128"	"Droperidol 1mg/ml liquid"	"Droperidol"	"1mg/ml"	"Liquid"	"Oral"	"04020100/15010401"	"Droperidol"	"Oral"
"15157"	"Melleril 100mg/5ml oral suspension (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"20mg/1ml"	"Oral suspension"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"15161"	"Promazine 50mg/ml injection"	"Promazine"	"50mg/ml"	"Injection"	"Intramuscular"	"04020100"	"Promazine"	"Injection"
"15171"	"Droleptan 10mg Tablet (Janssen-Cilag Ltd)"	"Droperidol"	"10mg"	"Tablet"	"Oral"	"04020100/15010401"	"Droperidol"	"Oral"
"15395"	"Promazine 12.5mg/5ml oral solution"	"Promazine"	"12.5mg/5ml"	"Syrup"	"Oral"	"04020100"	"Promazine"	"Oral"
"15418"	"Largactil forte 100mg/5ml Oral suspension (Hawgreen Ltd)"	"Chlorpromazine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"15438"	"Prochlorperazine maleate 15mg modified release capsul"	"Prochlorperazine"	"15mg"	"Modified Release Capsules"	"Oral"	"04020100/40120000"	"Prochlorperazine"	"Oral"
"15472"	"Pericyazine 25mg tablet"	"Pericyazine"	"25mg"	"Tablets"	"Oral"	"04020100"	"Pericyazine"	"Oral"
"15598"	"Thioridazine 100mg/5ml sugar free Oral solution"	"Thioridazine"	"100mg/5ml"	"Oral Solution"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"15645"	"HALDOL 20 MG TAB"	"Haloperidol"	"20 MG"	"Tablet"	"Oral"	"00000000"	"Haloperidol"	"Oral"
"15814"	"Haloperidol decanoate 100mg/1ml solution for injection ampoules"	"Haloperidol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101/04020200"	"Haloperidol"	"Injection"
"16006"	"Risperdal Quicklet 2mg orodispersible tablets (Janssen-Cilag Ltd)"	"Risperidone"	"2mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"16103"	"Olanzapine 20mg Orodispersible tablet"	"Olanzapine"	"20mg"	"Orodispersible Tablet"	"Oral"	"04020100"	"Olanzapine"	"Oral"
"16223"	"Roxiam 300mg Capsule (AstraZeneca UK Ltd)"	"Remoxipride"	"300mg"	"Capsule"	"Oral"	"04020100"	"Remoxipride"	"Oral"
"16229"	"FLUPHENAZINE DECANOATE 12.5 MG INJ"	"Fluphenazine"	"12.5 MG"	"Solution for injection"	"Intramuscular"	"00000000"	"Fluphenazine"	"Injection"
"16407"	"Zyprexa 15mg Velotabs (Eli Lilly and Company Ltd)"	"Olanzapine"	"15mg"	"Oral lyophilisate"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"16425"	"Risperidone 37.5mg powder and solvent for suspension for injection vials"	"Risperidone"	"37.5mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Risperidone"	"Injection"
"16434"	"Risperidone 25mg powder and solvent for suspension for injection vials"	"Risperidone"	"25mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Risperidone"	"Injection"
"16489"	"Risperidone 50mg powder and solvent for suspension for injection vials"	"Risperidone"	"50mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Risperidone"	"Injection"
"16561"	"Aripiprazole 30mg tablets"	"Aripiprazole"	"30mg"	"Tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"16575"	"Aripiprazole 1mg/ml oral solution"	"Aripiprazole"	"1mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"16768"	"Solian 50 tablets (Sanofi)"	"Amisulpride"	"50mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"16908"	"Risperdal Consta 25mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)"	"Risperidone"	"25mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Risperidone"	"Injection"
"16986"	"Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd)"	"Risperidone"	"1mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"16998"	"Sertindole 12mg tablets"	"Sertindole"	"12mg"	"Tablet"	"Oral"	"04020100"	"Sertindole"	"Oral"
"17050"	"Sertindole 20mg tablets"	"Sertindole"	"20mg"	"Tablet"	"Oral"	"04020100"	"Sertindole"	"Oral"
"17087"	"Perphenazine 5mg/ml injection"	"Perphenazine"	"5mg/ml"	"Injection"	"Intramuscular"	"04020100/40120000"	"Perphenazine"	"Injection"
"17190"	"Fluphenazine enanthate 25mg/ml Injection"	"Fluphenazine"	"25mg/ml"	"Injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"17221"	"CHLORPROMAZINE HCl 10 MG INJ"	"Chlorpromazine"	"10 MG"	"Solution for injection"	"Intramuscular"	"00000000"	"Chlorpromazine"	"Injection"
"17227"	"Chloractil 25mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpromazine"	"25mg"	"Tablet"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"17379"	"Haloperidol 1.5mg/5ml sugar free Oral solution"	"Haloperidol"	"1.5mg/5ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"17399"	"Thioridazine 50mg/5ml Oral solution"	"Thioridazine"	"50mg/5ml"	"Oral Solution"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"17504"	"Zotepine 25mg tablets"	"Zotepine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Zotepine"	"Oral"
"17634"	"Promazine 50mg/5ml oral solution"	"Promazine"	"10mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Promazine"	"Oral"
"17849"	"Vertigon spansule 15 15mg Spansule (GlaxoSmithKline Consumer Healthcare)"	"Prochlorperazine"	"15mg"	"Spansule"	"Oral"	"04020100/40120000"	"Prochlorperazine"	"Oral"
"17877"	"TRIFLUPERIDOL 2 MG TAB"	"Trifluperidol"	"2 MG"	"Tablet"	"Oral"	"00000000"	"Trifluperidol"	"Oral"
"17958"	"Clozaril 25mg tablets (Mylan)"	"Clozapine"	"25mg"	"Tablet"	"Oral"	"04020102"	"Clozapine"	"Oral"
"18013"	"Seroquel 100mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"100mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"18023"	"Seroquel tablets starter pack (AstraZeneca UK Ltd)"	"Quetiapine"	NA	"Tablet"	"Oral"	"00000000"	"Quetiapine"	"Oral"
"18024"	"Zyprexa 5mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"18132"	"Abilify 5mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"5mg"	"Tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"18155"	"Flupentixol 50mg/0.5ml solution for injection ampoules"	"Flupentixol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"18175"	"Flupentixol 100mg/1ml solution for injection ampoules"	"Flupentixol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"18181"	"Sulpor 200mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Sulpiride"	"40mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Sulpiride"	"Oral"
"18197"	"Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"18289"	"Stelazine 10mg/ml Concentrate (Goldshield Pharmaceuticals Ltd)"	"Trifluoperazine"	"10mg/ml"	"Concentrate"	"Oral"	"04020100/40120000"	"Trifluoperazine"	"Oral"
"18352"	"Sulpitil 200mg tablets (Pfizer Ltd)"	"Sulpiride"	"200mg"	"Tablet"	"Oral"	"04020101"	"Sulpiride"	"Oral"
"18453"	"Zyprexa 2.5mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"2.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"18658"	"OLANZAPINE"	"Olanzapine"	NA	NA	"Oral"	"00000000"	"Olanzapine"	"Oral"
"18668"	"Trifluoperazine 10mg/ml concentrate"	"Trifluoperazine"	"10mg/ml"	"Concentrate"	"Oral"	"04020100/40120000"	"Trifluoperazine"	"Oral"
"18991"	"Oxypertine 40mg tablets"	"Oxypertine"	"40mg"	"Tablet"	"Oral"	"00000000"	"Oxypertine"	"Oral"
"19002"	"Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd)"	"Chlorpromazine"	"100mg"	"Suppository"	"Rectal"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"19016"	"Roxiam 150mg Capsule (AstraZeneca UK Ltd)"	"Remoxipride"	"150mg"	"Capsule"	"Oral"	"04020100"	"Remoxipride"	"Oral"
"19033"	"CHLORPROMAZINE HCl 50 MG INJ"	"Chlorpromazine"	"50 MG"	"Solution for injection"	"Intramuscular"	"00000000"	"Chlorpromazine"	"Injection"
"19283"	"Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Flupentixol"	"Injection"
"19606"	"MELLERIL 25mg/5ml"	"Thioridazine"	"25mg/5ml"	"Oral solution"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"19645"	"TRIFLUOPERAZINE 5.00mg/ml"	"Trifluoperazine"	"5.00mg/ml"	NA	NA	"00000000"	"Trifluoperazine"	"Indeterminate"
"19738"	"MORPHINE,COCAINE & CHLORPROMAZINE MIX"	"Chlorpromazine"	NA	NA	NA	"00000000"	"Chlorpromazine"	"Indeterminate"
"19752"	"DEPIXOL (10ML VIAL)"	"Flupentixol"	"10ML"	"Solution for injection"	"Intramuscular"	"00000000"	"Flupentixol"	"Injection"
"19824"	"STEMETIL (1ML)"	"Prochlorperazine"	"1ML"	NA	NA	"00000000"	"Prochlorperazine"	"Indeterminate"
"19900"	"Sertindole 16mg tablets"	"Sertindole"	"16mg"	"Tablet"	"Oral"	"04020100"	"Sertindole"	"Oral"
"19976"	"Zyprexa 15mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"15mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"20061"	"PERPHENAZINE 8 MG TAB"	"Perphenazine"	"8 MG"	"Tablet"	"Oral"	"00000000"	"Perphenazine"	"Oral"
