"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidepressant"
"12207"	"Isocarboxazid 10mg tablets"	"Isocarboxazid"	"10mg"	"Tablet"	"Oral"	"04030200"	"Isocarboxazid"
"12221"	"Pacitron 500mg Tablet (Rorer Pharmaceuticals Ltd)"	"Tryptophan"	"500mg"	"Tablet"	"Oral"	"04030400"	"Tryptophan"
"12222"	"Ludiomil 10mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Maprotiline"	"10mg"	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"12353"	"Aventyl 25mg Capsule (Eli Lilly and Company Ltd)"	"Nortriptyline"	"25mg"	"Capsule"	"Oral"	"04030100/04070300"	"Nortriptyline"
"12368"	"Norval 10mg Tablet (Bencard)"	"Mianserin"	"10mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"12503"	"Marplan 10mg Tablet (Cambridge Laboratories Ltd)"	"Isocarboxazid"	"10mg"	"Tablet"	"Oral"	"04030200"	"Isocarboxazid"
"12549"	"Aventyl 10mg/5ml Liquid (Eli Lilly and Company Ltd)"	"Nortriptyline"	"10mg/5ml"	"Liquid"	"Oral"	"04030100/04070300"	"Nortriptyline"
"12710"	"Trazodone 150mg modified-release tablets"	"Trazodone"	"150mg"	"Modified-release tablet"	"Oral"	"00000000"	"Trazodone"
"13151"	"Cymbalta 30mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"13237"	"Venlafaxine 37.5mg/5ml oral suspension"	"Venlafaxine"	"7.5mg/1ml"	"Oral suspension"	"Oral"	"04030400"	"Venlafaxine"
"13496"	"AMITRIPTYLINE 200 MG TAB"	"Amitriptyline"	NA	"Tablet"	"Oral"	"00000000"	"Amitriptyline"
"13558"	"Ludiomil 75mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Maprotiline"	"75mg"	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"13621"	"Molipaxin CR 150mg tablets (Aventis Pharma)"	"Trazodone"	"150mg"	"Modified-release tablet"	"Oral"	"00000000"	"Trazodone"
"14398"	"Asendis 50mg Tablet (Wyeth Pharmaceuticals)"	"Amoxapine"	"50mg"	"Tablet"	"Oral"	"04030100"	"Amoxapine"
"14410"	"Ludiomil 50mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Maprotiline"	"50mg"	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"14519"	"Sinequan 75mg capsules (Pfizer Ltd)"	"Doxepin"	"75mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"14534"	"Limbitrol 5 Capsule (Roche Products Ltd)"	"Amitriptyline"	NA	"Capsule"	"Oral"	"04030100"	"Amitriptyline"
"14578"	"Nortriptyline 30mg / Fluphenazine 1.5mg tablets"	"Nortriptyline"	"30mg + 1.5mg"	"Tablet"	"Oral"	"00000000"	"Nortriptyline"
"14740"	"Oxactin 20mg capsules (Discovery Pharmaceuticals)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"14803"	"Yentreve 40mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Duloxetine"	"40mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"14849"	"Cymbalta 60mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"15163"	"Edronax 4mg tablets (Pfizer Ltd)"	"Reboxetine"	"4mg"	"Tablet"	"Oral"	"04030400"	"Reboxetine"
"15268"	"Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd)"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"15380"	"Asendis 25mg Tablet (Wyeth Pharmaceuticals)"	"Amoxapine"	"25mg"	"Tablet"	"Oral"	"04030100"	"Amoxapine"
"15632"	"Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"15975"	"Xepin 5% cream (Cambridge Healthcare Supplies Ltd)"	"Doxepin"	"50mg/1gram"	"Cream"	"Cutaneous"	"13030000"	"Doxepin"
"16154"	"Mirtazapine 15mg/ml oral solution sugar free"	"Mirtazapine"	"15mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Mirtazapine"
"16323"	"Perphenazine 2mg with Amitriptyline 10mg tablet"	"Amitriptyline"	"2mg + 10mg"	"Tablets"	"Oral"	"04020100/04030100"	"Amitriptyline"
"16727"	"Maprotiline 10mg tablets"	"Maprotiline"	"10mg"	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"16969"	"Yentreve 20mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Duloxetine"	"20mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"17183"	"Aventyl 10mg Capsule (Eli Lilly and Company Ltd)"	"Nortriptyline"	"10mg"	"Capsule"	"Oral"	"04030100/04070300"	"Nortriptyline"
"17319"	"Amoxapine 25mg tablets"	"Amoxapine"	"25mg"	"Tablets"	"Oral"	"04030100"	"Amoxapine"
"18342"	"Amitriptyline 25mg / Chlordiazepoxide 10mg capsules"	"Amitriptyline"	"25mg + 10mg"	"Capsules"	"Oral"	"04030100"	"Amitriptyline"
"19168"	"Dosulepin 25mg/5ml mixture"	"Dosulepin"	"25mg/5ml"	"Mixture"	"Oral"	"04030100"	"Dosulepin"
"19181"	"Trazodone 100mg capsules (Mylan)"	"Trazodone"	"100mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"19183"	"Fluoxetine 20mg capsules (A A H Pharmaceuticals Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"19186"	"Dosulepin 75mg tablets (Actavis UK Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"19470"	"Fluoxetine 20mg capsules (Ranbaxy (UK) Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"19779"	"Amitriptyline 10mg/ml injection"	"Amitriptyline"	"10mg/ml"	"Injection"	"Intramuscular"	"04030100"	"Amitriptyline"
"20026"	"Domical 25mg Tablet (Berk Pharmaceuticals Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"20152"	"Escitalopram 10mg/ml oral drops sugar free"	"Escitalopram"	"10mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Escitalopram"
"20379"	"MAPROTILINE HCl 75 MG TAB"	"Maprotiline"	NA	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"20405"	"Maprotiline 75mg tablets"	"Maprotiline"	"75mg"	"Tablet"	"Oral"	"00000000"	"Maprotiline"
"20504"	"Optimax wv Tablet (E. Merck)"	"Tryptophan"	"500mg"	"Tablet"	"Oral"	"04030400"	"Tryptophan"
"20571"	"Fluphenazine with nortriptyline 500microgramswith10mg Tablet"	"Nortriptyline"	"500mcg + 10mg"	"Tablet"	"Oral"	"04030100"	"Nortriptyline"
"20712"	"AMITRIPTYLINE S/R"	"Amitriptyline"	NA	NA	NA	"00000000"	"Amitriptyline"
"21081"	"Amitriptyline 12.5mg / Chlordiazepoxide 5mg capsules"	"Amitriptyline"	"12.5mg + 5mg"	"Capsules"	"Oral"	"04030100"	"Amitriptyline"
"21157"	"Thaden 75mg tablets (Opus Pharmaceuticals Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"21357"	"Asendis 100mg Tablet (Wyeth Pharmaceuticals)"	"Amoxapine"	"100mg"	"Tablet"	"Oral"	"04030100"	"Amoxapine"
"21819"	"Prepadine 75mg tablets (Teva UK Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"21820"	"Prepadine 25mg capsules (Teva UK Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"22067"	"Intrafusin 22 solution for injection 500ml bottles (Fresenius Kabi Ltd)"	"Tryptophan"	"4.2gram/1litre + 5.7gram/1litre + 6.75gram/1litre + 4.1gram/1litre + 5.4gram/1litre + 2.1gram/1litre + 4.7gram/1litre + 14gram/1litre + 3.5gram/1litre + .7gram/1litre + 15.6gram/1litre + 26gram/1litre + 22.05gram/1litre + 14.1gram/1litre + 14.1gram/1litre + 2.25gram/1litre"	"Solution for injection"	"Intravenous"	"00000000"	"Tryptophan"
"22070"	"Amitriptyline 10mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg/5ml"	"Oral Solution"	"Oral"	"04030100/04070300"	"Amitriptyline"
"22162"	"DOTHIEPIN HCl 50 MG ELI"	"Dosulepin"	NA	NA	NA	"00000000"	"Dosulepin"
"22872"	"DOXEPIN HCL"	"Doxepin"	NA	NA	NA	"00000000"	"Doxepin"
"23334"	"FAVERIN"	"Fluvoxamine"	NA	NA	NA	"00000000"	"Fluvoxamine"
"23426"	"Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"23494"	"DOTHIEPIN HCl 25 MG SYR"	"Dosulepin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Dosulepin"
"23497"	"AMITRIPTYLINE 300 MG TAB"	"Amitriptyline"	NA	"Tablet"	"Oral"	"00000000"	"Amitriptyline"
"24134"	"Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"24141"	"Amitriptyline 10mg tablets (Actavis UK Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"24145"	"Amitriptyline 25mg tablets (Actavis UK Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"24147"	"Amitriptyline 25mg tablets (Teva UK Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"24152"	"Amitriptyline 10mg tablets (Teva UK Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"24680"	"Elavil 10mg Tablet (DDSA Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"24723"	"Asendis 150mg Tablet (Wyeth Pharmaceuticals)"	"Amoxapine"	"150mg"	"Tablet"	"Oral"	"04030100"	"Amoxapine"
"24890"	"Trifluoperazine with tranylcypromine 1mg + 10mg Tablet"	"Tranylcypromine"	"1mg + 10mg"	"Tablet"	"Oral"	"04020100/04030200"	"Tranylcypromine"
"25036"	"CLOMIPRAMINE HYDROCHLORIDE"	"Clomipramine"	NA	NA	NA	"00000000"	"Clomipramine"
"25045"	"TRIMIPRAMINE"	"Trimipramine"	NA	NA	NA	"00000000"	"Trimipramine"
"25060"	"DOTHIEPIN HYDROCHLORIDE"	"Dosulepin"	NA	NA	NA	"00000000"	"Dosulepin"
"25070"	"LOFEPRAMINE"	"Lofepramine"	NA	NA	NA	"00000000"	"Lofepramine"
"25085"	"TRIMIPRAMINE"	"Trimipramine"	NA	NA	NA	"00000000"	"Trimipramine"
"25444"	"Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd)"	"Lofepramine"	"14mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Lofepramine"
"26016"	"Citalopram 20mg tablets (Sandoz Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"26056"	"Cipralex 10mg/ml oral drops (Lundbeck Ltd)"	"Escitalopram"	"10mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Escitalopram"
"26213"	"Domical 10mg Tablet (Berk Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"26513"	"Clomipramine 25mg/2ml solution for injection ampoules"	"Clomipramine"	"12.5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"00000000"	"Clomipramine"
"26642"	"DOTHIEPIN 100 MG SYR"	"Dosulepin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Dosulepin"
"26822"	"PROTHIADEN"	"Dosulepin"	NA	NA	NA	"00000000"	"Dosulepin"
"27008"	"Domical 50mg Tablet (Berk Pharmaceuticals Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"27616"	"PROTHIADEN"	"Dosulepin"	NA	NA	NA	"00000000"	"Dosulepin"
"27876"	"AMITRIPTYLINE"	"Amitriptyline"	NA	NA	NA	"00000000"	"Amitriptyline"
"29086"	"DOTHIEPIN HCl 75 MG SYR"	"Dosulepin"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Dosulepin"
"29339"	"Trazodone 50mg capsules (Mylan)"	"Trazodone"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"29756"	"Paxoran 20mg Tablet (Ranbaxy (UK) Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"29786"	"Ranflutin 20mg capsules (Ranbaxy (UK) Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"29857"	"Trazodone 150mg tablets (Teva UK Ltd)"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"29875"	"Dosulepin 25mg capsules (Mylan)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"30258"	"Fluoxetine 20mg/5ml oral solution (Teva UK Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"30375"	"Anafranil 25mg/2ml solution for injection ampoules (Novartis Pharmaceuticals UK Ltd)"	"Clomipramine"	"12.5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"00000000"	"Clomipramine"
"30376"	"Thaden 25mg capsules (Opus Pharmaceuticals Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"30738"	"AMITRIPTYLINE S/F"	"Amitriptyline"	NA	NA	NA	"00000000"	"Amitriptyline"
"30983"	"Trazodone 150mg tablets (Mylan)"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"31168"	"MIRTAZAPINE"	"Mirtazapine"	NA	NA	NA	"00000000"	"Mirtazapine"
"31824"	"Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"31826"	"Dosulepin 75mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"32121"	"Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"32401"	"Sertraline 50mg tablets (A A H Pharmaceuticals Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"32439"	"Amitriptyline 25mg Tablet (Sussex Pharmaceutical Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"32546"	"Paxoran 10mg Tablet (Ranbaxy (UK) Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"32848"	"Citalopram 10mg tablets (Actavis UK Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"32863"	"Imipramine 10mg tablets (Teva UK Ltd)"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"32899"	"Paroxetine 20mg tablets (Actavis UK Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"33071"	"Felicium 20mg capsules (Opus Pharmaceuticals Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"33074"	"Praminil 10mg Tablet (DDSA Pharmaceuticals Ltd)"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040200"	"Imipramine"
"33090"	"Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"33164"	"Dosulepin 25mg capsules (Sandoz Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"33337"	"Mirtazapine 45mg tablets (A A H Pharmaceuticals Ltd)"	"Mirtazapine"	"45mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"33410"	"Fluoxetine 20mg capsules (Zentiva)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"33624"	"Amitriptyline 50mg tablets (Teva UK Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"33720"	"Citalopram 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"33779"	"Prozit 20mg/5ml oral solution (Pinewood Healthcare)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"33978"	"Paroxetine 20mg tablets (Mylan)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"34003"	"Trazodone 50mg capsules (A A H Pharmaceuticals Ltd)"	"Trazodone"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"34046"	"Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"34058"	"Dosulepin 75mg tablets (Teva UK Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"34107"	"Amitriptyline 50mg tablets (Wockhardt UK Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34129"	"Amitriptyline 25mg tablets (Wockhardt UK Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34182"	"Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34197"	"Amitriptyline 25mg Tablet (Berk Pharmaceuticals Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"34202"	"Fluoxetine 20mg capsules (Genus Pharmaceuticals Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"34216"	"Fluoxetine 20mg/5ml oral solution (A A H Pharmaceuticals Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"34222"	"Imipramine 10mg tablets (Actavis UK Ltd)"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"34223"	"Dosulepin 25mg capsules (Teva UK Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"34224"	"Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Amitriptyline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34245"	"Clomipramine 25mg capsules (A A H Pharmaceuticals Ltd)"	"Clomipramine"	"25mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"34251"	"Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34274"	"Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34288"	"Fluoxetine 20mg capsules (Mylan)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"34294"	"Fluoxetine 20mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"34351"	"Paroxetine 20mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"34355"	"Imipramine 25mg tablets (Actavis UK Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"34356"	"Citalopram 20mg tablets (A A H Pharmaceuticals Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34401"	"Amitriptyline 10mg tablets (Wockhardt UK Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34413"	"Citalopram 10mg tablets (Zentiva)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34415"	"Citalopram 20mg tablets (Mylan)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34419"	"Paroxetine 20mg tablets (A A H Pharmaceuticals Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"34421"	"Trazodone 50mg capsules (Zentiva)"	"Trazodone"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"34436"	"Citalopram 10mg tablets (Mylan)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34456"	"Fluoxetine 20mg capsules (Teva UK Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"34466"	"Citalopram 40mg tablets (Sandoz Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34470"	"Trazodone 150mg tablets (Zentiva)"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"34474"	"Amitriptyline 25mg Tablet (Regent Laboratories Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"34498"	"Citalopram 10mg Tablet (Neo Laboratories Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34499"	"Citalopram 10mg tablets (Sandoz Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34503"	"Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100"	"Amitriptyline"
"34525"	"Dosulepin 75mg tablets (Mylan)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"34578"	"Lofepramine 70mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"34580"	"Trazodone 100mg capsules (A A H Pharmaceuticals Ltd)"	"Trazodone"	"100mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"34586"	"Citalopram 10mg tablets (A A H Pharmaceuticals Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34587"	"Paroxetine 30mg tablets (A A H Pharmaceuticals Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"34603"	"Citalopram 40mg tablets (Mylan)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34634"	"Amitriptyline 50mg tablets (Actavis UK Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34641"	"Dosulepin 25mg capsules (Sovereign Medical Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"34643"	"Dosulepin 25mg capsules (Almus Pharmaceuticals Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"34672"	"Lofepramine 70mg tablets (Sterwin Medicines)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"34722"	"Citalopram 20mg Tablet (Neo Laboratories Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34731"	"Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34745"	"Dosulepin 25mg capsules (Actavis UK Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"34782"	"Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"34813"	"Imipramine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"34822"	"Citalopram 20mg tablets (Zentiva)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34849"	"Fluoxetine 20mg capsules (Tillomed Laboratories Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"34856"	"Fluoxetine 60mg capsules (Mylan)"	"Fluoxetine"	"60mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"34866"	"Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd)"	"Clomipramine"	"10mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"34871"	"Citalopram 20mg tablets (Actavis UK Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34872"	"Imipramine 25mg Tablet (C P Pharmaceuticals Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040200"	"Imipramine"
"34916"	"Amitriptyline 10mg Tablet (Berk Pharmaceuticals Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"34950"	"Lofepramine 70mg tablets (Accord Healthcare Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"34966"	"Citalopram 20mg tablets (Teva UK Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"34970"	"Citalopram 20mg tablets (Niche Generics Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"35021"	"Paroxetine 10mg tablets"	"Paroxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"35112"	"Seroxat 10mg tablets (GlaxoSmithKline UK Ltd)"	"Paroxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"35258"	"Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd)"	"Doxepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
"35493"	"Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd)"	"Doxepin"	"50mg"	"Capsule"	"Oral"	"04030100"	"Doxepin"
