"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"moodstabilisers"
"45106"	"Sodium valproate 250mg modified-release granules sachets sugar free"	"Valproate"	"250mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"45344"	"Sodium valproate 200mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"45419"	"Sodium valproate 50mg modified-release granules sachets sugar free"	"Valproate"	"50mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"45572"	"Lamotrigine 50mg Suppository"	"Lamotrigine"	"50mg"	"Suppository"	"Rectal"	"04080100"	"Lamotrigine"
"45903"	"Tegretol Prolonged Release 400mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"45941"	"Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"46774"	"Sodium valproate 500mg gastro-resistant tablets (Teva UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"46775"	"Lamotrigine 50mg tablets (Teva UK Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"46888"	"Carbamazepine 200mg Modified-release tablet (Generics (UK) Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"46972"	"Carbamazepine 200mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"47294"	"Carbamazepine sr 400mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"47817"	"Lamotrigine 50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"47963"	"Lamotrigine 25mg tablets (Fannin UK Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"48164"	"Lamotrigine 25mg dispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"48182"	"Lamotrigine 25mg tablets (Arrow Generics Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"48397"	"Tegretol Prolonged Release 200mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"49532"	"Lamotrigine 25mg tablets (Accord Healthcare Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"49833"	"Tegretol 200mg tablets (Lexon (UK) Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"49923"	"Epilim Chrono 200 tablets (Lexon (UK) Ltd)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"50235"	"Lamotrigine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"51309"	"Lamictal 25mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"51401"	"Priadel 400mg modified-release tablets (Necessity Supplies Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"51501"	"Lamictal 25mg tablets (Lexon (UK) Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"51751"	"Sodium valproate 200mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"51760"	"Tegretol 400mg tablets (Lexon (UK) Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"52840"	"Tegretol Prolonged Release 400mg tablets (Necessity Supplies Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"53188"	"Carbamazepine 500mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg/1ml"	"Oral suspension"	"Oral"	"04020300/04080100"	"Carbamazepine"
"53195"	"Epilim Chrono 200 tablets (DE Pharmaceuticals)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"53197"	"Sodium valproate 300mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"53211"	"Valproic acid 500mg/5ml oral solution"	"Valproate/Valproic"	"100mg/1ml"	"Oral solution"	"Oral"	"04020300/04080100"	"Valproate/Valproic"
"53459"	"Priadel 400mg modified-release tablets (DE Pharmaceuticals)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"53492"	"Tegretol Prolonged Release 200mg tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"53501"	"Epilim Chrono 500 tablets (Lexon (UK) Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"53524"	"Epilim Chrono 300 tablets (DE Pharmaceuticals)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"53893"	"Tegretol Prolonged Release 400mg tablets (Stephar (U.K.) Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"54276"	"Lamotrigine 5mg dispersible tablets sugar free (Actavis UK Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"54445"	"Carbamazepine 400mg tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"54828"	"Sodium valproate 600mg/5ml oral solution"	"Valproate"	"120mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"55006"	"Sodium valproate 500mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"55644"	"Lamotrigine 25mg tablets (Bristol Laboratories Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"55904"	"Carbamazepine 100mg tablets (Mylan)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"56076"	"Sodium valproate 500mg/5ml oral suspension"	"Valproate"	"100mg/1ml"	"Oral suspension"	"Oral"	"04080100"	"Valproate"
"56136"	"Epilim Chrono 300 tablets (Waymade Healthcare Plc)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"56427"	"Lithium citrate 509mg/5ml oral solution (Cubic Pharmaceuticals Ltd)"	"Lithium"	"101.8mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Lithium"
"56435"	"Lithium carbonate 200mg/5ml oral suspension"	"Lithium"	"40mg/1ml"	"Oral suspension"	"Oral"	"04020300"	"Lithium"
"56504"	"Lamotrigine 25mg dispersible tablets sugar free (Tillomed Laboratories Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"56734"	"Carbamazepine 100mg tablets (Phoenix Healthcare Distribution Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"57726"	"Tegretol Prolonged Release 200mg tablets (Mawdsley-Brooks & Company Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"57863"	"Lamotrigine 50mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"57898"	"Carbamazepine 100mg/5ml oral suspension"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"58515"	"Tegretol 100mg/5ml liquid (Lexon (UK) Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59038"	"Carbamazepine 100mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59120"	"Lamotrigine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"59125"	"Lamotrigine 100mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"59211"	"Carbamazepine 200mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59241"	"Lamotrigine 100mg dispersible tablets sugar free (Teva UK Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"59242"	"Lamotrigine 25mg dispersible tablets sugar free (Teva UK Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"59273"	"Lamotrigine 50mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"59318"	"Lamotrigine 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"59428"	"Carbamazepine 100mg tablets (Almus Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59429"	"Carbamazepine 200mg tablets (Almus Pharmaceuticals Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59430"	"Carbamazepine 400mg tablets (Almus Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59609"	"Lamotrigine 100mg dispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"59696"	"Carbamazepine 400mg tablets (Kent Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59697"	"Carbamazepine 10mg/5ml oral suspension"	"Carbamazepine"	"2mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59745"	"Carbamazepine 100mg/5ml oral suspension sugar free (DE Pharmaceuticals)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59746"	"Carbamazepine 100mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"59887"	"Carbamazepine 200mg tablets (Mylan)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"60102"	"Sodium valproate 500mg modified-release tablets (J M McGill Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"60133"	"Tegretol Prolonged Release 400mg tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"60181"	"Carbagen 100mg tablets (Mylan)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"60187"	"Carbagen 200mg tablets (Mylan)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"60268"	"Lamotrigine 200mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"60332"	"Sodium valproate 200mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"60405"	"Carbagen 400mg tablets (Mylan)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"60424"	"Lamictal 25mg dispersible tablets (Lexon (UK) Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"60578"	"Lamotrigine 200mg tablets (Waymade Healthcare Plc)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"60804"	"Lamotrigine 50mg/5ml oral suspension"	"Lamotrigine"	"10mg/1ml"	"Oral suspension"	"Oral"	"04080100"	"Lamotrigine"
"61143"	"Carbamazepine 100mg tablets (Actavis UK Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"61377"	"Carbamazepine 100mg tablets (Kent Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"61623"	"Lamotrigine 50mg tablets (Accord Healthcare Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"61624"	"Lamotrigine 100mg tablets (Accord Healthcare Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"61625"	"Lamotrigine 200mg tablets (Accord Healthcare Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"62457"	"Carbamazepine 100mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"62538"	"Carbamazepine 200mg tablets (Actavis UK Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"62637"	"Sodium valproate 200mg gastro-resistant tablets (Actavis UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"62869"	"Lamotrigine 50mg tablets (Sigma Pharmaceuticals Plc)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"63213"	"Tegretol 200mg tablets (Necessity Supplies Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"63341"	"Tegretol Prolonged Release 200mg tablets (Lexon (UK) Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"63685"	"Epilim Chrono 500 tablets (DE Pharmaceuticals)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"63735"	"Carbamazepine 400mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"63930"	"Tegretol 100mg/5ml liquid (DE Pharmaceuticals)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"63973"	"Lamotrigine 25mg dispersible tablets sugar free (Actavis UK Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"63989"	"Lithium carbonate 400mg modified-release tablets (Niche Pharma Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"64600"	"Lamotrigine 100mg tablets (Kent Pharmaceuticals Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"65046"	"Lamotrigine 15mg/5ml oral suspension"	"Lamotrigine"	"3mg/1ml"	"Oral suspension"	"Oral"	"04080100"	"Lamotrigine"
"65296"	"Lithium carbonate 250mg tablets (A A H Pharmaceuticals Ltd)"	"Lithium"	"250mg"	"Tablet"	"Oral"	"04020300"	"Lithium"
"65301"	"Lithium carbonate 250mg tablets (Essential Pharma Ltd)"	"Lithium"	"250mg"	"Tablet"	"Oral"	"04020300"	"Lithium"
"65838"	"Lithium carbonate 400mg modified-release tablets (DE Pharmaceuticals)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"65965"	"Lamictal 50mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"65969"	"Lamotrigine 5mg/5ml oral solution"	"Lamotrigine"	"1mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Lamotrigine"
"66058"	"Carbamazepine 200mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"66073"	"Carbamazepine 400mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"66248"	"Lithium carbonate 400mg modified-release tablets (Ennogen Healthcare Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"66375"	"Carbamazepine 400mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"66417"	"Lamotrigine 200mg tablets (Teva UK Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"66974"	"Lamotrigine 100mg tablets (Bristol Laboratories Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"67477"	"Lamotrigine 25mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"67622"	"Lamotrigine 100mg dispersible tablets sugar free (PLIVA Pharma Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"67631"	"Lamotrigine 5mg dispersible tablets sugar free (PLIVA Pharma Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"67633"	"Lamotrigine 25mg dispersible tablets sugar free (PLIVA Pharma Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"67798"	"Sodium valproate 400mg/4ml solution for injection ampoules"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"04080100"	"Valproate"
"67904"	"Lamotrigine 50mg tablets (Bristol Laboratories Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"68151"	"Sodium valproate 60mg/5ml oral solution"	"Valproate"	"12mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"68292"	"Lithium carbonate 400mg modified-release tablets (AM Distributions (Yorkshire) Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"68457"	"Sodium valproate 300mg suppositories"	"Valproate"	"300mg"	"Suppository"	"Rectal"	"04080100"	"Valproate"
"68859"	"Lamotrigine 100mg dispersible tablets sugar free (Actavis UK Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"69155"	"Carbamazepine 40mg/5ml oral suspension"	"Carbamazepine"	"8mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"69555"	"Valproic acid 125mg gastro-resistant capsules"	"Valproate/Valproic"	"125mg"	"Gastro-resistant capsule"	"Oral"	"04080100"	"Valproate/Valproic"
"69807"	"Lamotrigine 5mg dispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"70773"	"Carbamazepine 200mg modified-release tablets (DE Pharmaceuticals)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"70901"	"Carbamazepine 100mg tablets (Waymade Healthcare Plc)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"70902"	"Carbamazepine 200mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"70939"	"Lamotrigine 25mg tablets (Waymade Healthcare Plc)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"71149"	"Tegretol Prolonged Release 400mg tablets (Waymade Healthcare Plc)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"71350"	"Tegretol Prolonged Release 200mg tablets (Necessity Supplies Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"71365"	"Tegretol Prolonged Release 400mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"71432"	"Tegretol Prolonged Release 200mg tablets (Waymade Healthcare Plc)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"71442"	"Epilim 200mg/5ml syrup (Lexon (UK) Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"71621"	"Sodium valproate 200mg gastro-resistant tablets (Zentiva)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"72018"	"Carbamazepine 100mg/5ml oral suspension sugar free (Actavis UK Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"72233"	"Epilim 200mg/5ml syrup (DE Pharmaceuticals)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"72408"	"Valproic acid 500mg/5ml oral suspension"	"Valproate/Valproic"	"100mg/1ml"	"Oral suspension"	"Oral"	"04020300/04080100"	"Valproate/Valproic"
"72821"	"Lamotrigine 50mg tablets (Kent Pharmaceuticals Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"72851"	"Valproic acid 250mg/5ml oral solution"	"Valproate/Valproic"	"50mg/1ml"	"Oral solution"	"Oral"	"04020300/04080100"	"Valproate/Valproic"
"72875"	"Tegretol 400mg tablets (Necessity Supplies Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"73122"	"Epilim Chrono 300 tablets (Lexon (UK) Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"73632"	"Lamotrigine 25mg tablets (Consilient Health Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"73827"	"Carbamazepine 200mg tablets (Waymade Healthcare Plc)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"73990"	"Epilim Chrono 500 tablets (Waymade Healthcare Plc)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"74026"	"Epilim Chrono 200 tablets (Waymade Healthcare Plc)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"74482"	"Valproic acid 250mg/5ml oral suspension"	"Valproate/Valproic"	"50mg/1ml"	"Oral suspension"	"Oral"	"04020300/04080100"	"Valproate/Valproic"
"74810"	"Epilim 500 gastro-resistant tablets (Waymade Healthcare Plc)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"74819"	"Tegretol Prolonged Release 400mg tablets (Lexon (UK) Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"74848"	"Sodium valproate 500mg gastro-resistant tablets (Arrow Generics Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"75188"	"Sodium valproate CR 300mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Valproate"	"300mg"	"Tablet"	"Oral"	"04080100"	"Valproate"
"75360"	"Lithium chloride 1.5mmol/10ml solution for injection ampoules"	"Lithium"	".15mmol/1ml"	"Solution for injection"	"Intravenous"	"64110000"	"Lithium"
"75423"	"Lamotrigine 50mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"75692"	"Carbamazepine 100mg/5ml oral suspension (Special Order)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"76160"	"Lamotrigine 25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"76197"	"Carbamazepine 200mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"76453"	"Carbamazepine 200mg/5ml oral solution (Special Order)"	"Carbamazepine"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"76477"	"Depakote 125mg sprinkle gastro-resistant capsules (Imported (United States))"	"Valproate"	"125mg"	"Gastro-resistant capsule"	"Oral"	"04080100"	"Valproate"
"76964"	"Sodium valproate 200mg gastro-resistant tablets (Waymade Healthcare Plc)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"77187"	"Lamotrigine 50mg tablets (Consilient Health Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"77195"	"Sodium valproate 500mg modified-release tablets (DE Pharmaceuticals)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"77272"	"Sodium valproate 500mg Tablet (Sterwin Medicines)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"77468"	"Lamotrigine 25mg dispersible tablets sugar free (Waymade Healthcare Plc)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"77513"	"Sodium valproate 200mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
